result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
OUT,65.6,-20,-20.55461654,8,ground_ball
DOUBLE,101.6,17,46.6398541,264,line_drive
SINGLE,90.2,8,-17.78552102,171,line_drive
OUT,74.1,-7,41.97234746,12,ground_ball
SINGLE,67,-15,-18.20582084,8,ground_ball
OUT,76.8,-18,-18.39464935,6,ground_ball
OUT,76,66,46.33292012,127,popup
OUT,93.7,5,46.6187553,94,ground_ball
OUT,70.1,-2,22.01071311,24,ground_ball
OUT,84.1,-41,-40.82402025,2,ground_ball
OUT,106,23,38.79350809,332,fly_ball
OUT,72.8,75,72.59458971,82,popup
OUT,64.2,62,-45.38852407,127,popup
OUT,102.1,9,44.72796692,158,line_drive
OUT,65,-27,45.44291824,3,ground_ball
OUT,80.6,67,-39.78703996,148,popup
OUT,87.5,-55,-37.0488447,2,ground_ball
OUT,78.4,-12,49.6263492,6,ground_ball
OUT,92.8,-10,26.32971129,9,ground_ball
SINGLE,98.4,12,-17.82612798,274,line_drive
DOUBLE,100.2,24,12.38702057,383,fly_ball
OUT,69,-7,-15.46293265,16,ground_ball
OUT,87.9,-25,-41.47555062,5,ground_ball
OUT,87.7,-8,44.95390526,15,ground_ball
OUT,96.3,-12,-36.03754155,12,ground_ball
OUT,61.9,8,40.81833974,77,ground_ball
OUT,93.3,24,4.025499562,327,line_drive
OUT,91.4,-12,47.47395278,11,ground_ball
OUT,88.9,-43,-17.04556183,3,ground_ball
SINGLE,84.9,12,-33.09760238,196,line_drive
OUT,77.3,-16,33.52543309,9,ground_ball
OUT,60.2,-19,14.13855725,9,ground_ball
SINGLE,72.9,25,0.310222197,236,line_drive
OUT,93.4,0,-20.70276575,48,ground_ball
OUT,98.6,30,-22.30078695,385,fly_ball
OUT,81.9,-28,-29.44780336,4,ground_ball
OUT,91.7,-2,-14.82614808,30,ground_ball
SINGLE,84.1,20,-10.93553738,271,line_drive
SINGLE,101.3,1,-36.14352142,55,ground_ball
OUT,46.4,48,38.55972045,105,popup
OUT,67.8,-58,16.13558866,1,ground_ball
OUT,95.2,27,-26.75743243,372,fly_ball
SINGLE,84.2,2,22.84055493,59,ground_ball
SINGLE,62.5,-59,-46.03401306,2,ground_ball
OUT,85.4,-2,34.67400473,34,ground_ball
OUT,94.5,52,-4.079929365,250,fly_ball
SINGLE,76.1,14,-3.527421436,123,ground_ball
OUT,87,-17,26.44046408,7,ground_ball
OUT,67.1,4,31.73586854,62,ground_ball
OUT,89.3,63,57.17216632,201,fly_ball
OUT,97.1,45,45.46798312,313,fly_ball
OUT,71.9,-11,-13.73888867,11,ground_ball
OUT,103,11,-23.34705087,175,line_drive
OUT,79.2,-14,-20.20620132,10,ground_ball
OUT,107.2,1,-24.9895231,54,ground_ball
SINGLE,103.9,-7,12.49433372,13,ground_ball
OUT,84.8,48,-47.79095071,279,fly_ball
HR,101.5,37,43.6364513,376,fly_ball
OUT,73.3,-34,2.061399496,4,ground_ball
OUT,81.1,48,-44.53918597,250,fly_ball
OUT,93,30,-31.57073391,357,fly_ball
SINGLE,102.2,-7,2.480497466,20,ground_ball
OUT,95.9,16,-23.86097848,283,line_drive
OUT,99.6,38,-15.24202447,353,fly_ball
OUT,98.5,-2,30.3942941,30,ground_ball
SINGLE,98.4,12,40.76028311,189,line_drive
SINGLE,97.2,17,-41.34611434,264,line_drive
SINGLE,106.8,15,-34.06178082,287,line_drive
DOUBLE,92.8,-13,-41.09255671,9,ground_ball
OUT,54.6,-61,3.143143216,1,ground_ball
OUT,96.9,-6,-23.00454447,15,ground_ball
OUT,92,26,1.517864799,355,fly_ball
OUT,88.5,0,-21.91212097,38,ground_ball
SINGLE,95.5,9,29.69587041,170,line_drive
OUT,84.5,-19,27.29485821,8,ground_ball
OUT,84.6,38,24.63750876,283,fly_ball
OUT,93.4,38,-32.29075222,327,fly_ball
OUT,99.4,-2,-45.42078125,32,ground_ball
