result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,is_theoretical_fair
OUT,75.0,7,-9.5767299602032,80.0,ground_ball,1
OUT,66.5,39,29.290735333361265,197.0,popup,1
OUT,90.2,-3,6.605664180975152,29.0,ground_ball,1
OUT,90.8,30,-4.329812412847333,344.0,fly_ball,1
OUT,74.1,-18,19.863186510568216,8.0,ground_ball,1
SINGLE,100.0,-7,1.4252577889497642,20.0,ground_ball,1
OUT,82.9,29,-38.176568912650815,274.0,line_drive,1
OUT,77.3,9,-23.135404689740916,118.0,ground_ball,1
OUT,98.4,44,-18.72279256814739,314.0,fly_ball,1
OUT,84.5,-40,-28.997093982918315,2.0,ground_ball,1
SINGLE,108.0,4,-1.248904466927358,103.0,ground_ball,1
SINGLE,109.2,11,-19.5788083365284,200.0,line_drive,1
OUT,73.1,6,-32.716212487154664,93.0,ground_ball,1
OUT,92.8,-4,-25.91275549480236,26.0,ground_ball,1
OUT,76.8,78,-41.38082873457935,42.0,popup,1
OUT,77.1,-9,-21.355887525581945,12.0,ground_ball,1
OUT,94.4,36,-9.141452916153863,346.0,fly_ball,1
OUT,69.0,46,12.08971720549297,202.0,fly_ball,1
OUT,93.4,43,-2.540973985734415,299.0,fly_ball,1
OUT,98.0,20,-20.015650575522876,341.0,line_drive,1
HR,104.4,25,-25.90339286355652,399.0,fly_ball,1
SINGLE,78.8,13,-9.814066019713112,185.0,line_drive,1
OUT,97.1,-1,33.34521317219132,41.0,ground_ball,1
OUT,76.6,-47,-42.042196537384825,2.0,ground_ball,1
OUT,97.3,42,39.9071645766463,301.0,fly_ball,1
OUT,98.3,1,-18.10528744630105,61.0,ground_ball,1
OUT,81.7,-6,-27.788480356819285,23.0,ground_ball,1
OUT,105.1,-4,40.57185896604461,27.0,ground_ball,1
OUT,95.2,1,27.58638952237846,52.0,ground_ball,1
OUT,103.0,-2,16.036117787746477,37.0,ground_ball,1
OUT,90.3,54,-27.1561145920856,246.0,fly_ball,1
OUT,93.2,20,-1.2598227211119712,303.0,line_drive,1
OUT,74.3,38,8.786834732672935,262.0,fly_ball,1
DOUBLE,106.3,14,17.215032386374965,266.0,line_drive,1
OUT,85.8,59,-45.730896359597,202.0,fly_ball,0
OUT,86.0,58,34.10483252390995,197.0,fly_ball,1
OUT,66.6,54,9.838497587997288,169.0,popup,1
OUT,83.1,46,38.32500246716079,262.0,fly_ball,1
SINGLE,96.6,-8,-37.06370181895932,11.0,ground_ball,1
OUT,71.7,2,-18.095656818721743,44.0,ground_ball,1
OUT,77.5,14,-17.72115269999001,155.0,line_drive,1
OUT,94.8,-11,45.76389846093,9.0,ground_ball,0
OUT,70.0,-12,-21.61365644255103,12.0,ground_ball,1
SINGLE,98.3,7,22.96459370597292,122.0,ground_ball,1
OUT,98.1,-1,0.2882782190232066,38.0,ground_ball,1
DOUBLE,102.1,22,-7.184637325835096,384.0,line_drive,1
SINGLE,85.2,18,0.7464501592410436,263.0,line_drive,1
HR,107.8,34,-30.251412319910216,407.0,fly_ball,1
SINGLE,101.2,14,14.22540019077819,266.0,line_drive,1
OUT,97.5,-23,-34.26841315806746,3.0,ground_ball,1
OUT,103.9,28,-10.043121704590416,397.0,fly_ball,1
SINGLE,70.6,30,9.30261244894072,231.0,fly_ball,1
OUT,81.8,-10,-23.912317551750885,11.0,ground_ball,1
OUT,76.7,8,-19.11267148601148,114.0,ground_ball,1
OUT,100.6,-2,-18.479150649870093,33.0,ground_ball,1
OUT,97.3,19,34.41905200640945,315.0,line_drive,1
OUT,93.6,40,9.742504118547068,313.0,fly_ball,1
OUT,74.0,14,-19.16678387482685,155.0,line_drive,1
HR,108.6,32,-32.22320375781978,431.0,fly_ball,1
SINGLE,94.2,5,-26.74981516654517,84.0,ground_ball,1
SINGLE,99.9,14,-41.11162291806622,206.0,line_drive,1
OUT,65.8,43,-21.186527660746883,210.0,fly_ball,1
SINGLE,103.5,11,-10.944448406291617,258.0,line_drive,1
OUT,85.0,-48,-35.77815173572194,2.0,ground_ball,1
OUT,86.8,54,-50.03928145876548,234.0,fly_ball,0
SINGLE,82.3,10,-9.263450065139237,135.0,ground_ball,1
OUT,74.8,-45,-27.12873004848065,3.0,ground_ball,1
OUT,86.4,-6,-26.299858336827345,20.0,ground_ball,1
DOUBLE,71.3,-30,-48.36801911029451,3.0,ground_ball,0
OUT,81.8,-40,-14.49028477639304,3.0,ground_ball,1
OUT,106.6,19,-0.7119839371002721,358.0,line_drive,1
HR,105.3,25,28.14619530368868,376.0,fly_ball,1
OUT,75.0,-20,-33.49437976272679,4.0,ground_ball,1
OUT,90.4,55,24.574265383846097,228.0,fly_ball,1
OUT,74.5,72,-76.9848781184699,102.0,popup,0
SINGLE,81.7,19,-3.3026492533432723,251.0,line_drive,1
OUT,76.0,80,50.65651613239064,44.0,popup,0
SINGLE,94.9,7,19.555301407328844,116.0,ground_ball,1
OUT,82.8,4,-35.48205083905123,79.0,ground_ball,1
OUT,100.0,24,-7.1947613522732246,382.0,fly_ball,1
SINGLE,83.7,5,-1.523402727381311,90.0,ground_ball,1
OUT,101.5,4,-14.350569292283208,87.0,ground_ball,1
OUT,95.0,20,-28.65033483968243,328.0,line_drive,1
SINGLE,102.8,-4,30.521242295754217,23.0,ground_ball,1
OUT,76.6,32,-4.477182700584645,274.0,fly_ball,1
OUT,97.6,-17,-40.47994879267521,9.0,ground_ball,1
OUT,96.3,62,45.43794525249099,211.0,fly_ball,0
OUT,103.6,15,7.706369502040656,334.0,line_drive,1
OUT,85.8,5,26.220473607658608,73.0,ground_ball,1
OUT,48.6,24,-40.90437896827866,109.0,line_drive,1
DOUBLE,101.2,10,14.586275725276126,232.0,line_drive,1
OUT,90.5,-18,-20.682930350644487,8.0,ground_ball,1
OUT,95.6,9,42.83752365769829,153.0,line_drive,1
OUT,79.1,-13,-27.07959530817359,13.0,ground_ball,1
SINGLE,71.2,32,-23.924102052881224,241.0,fly_ball,1
OUT,84.2,81,-87.79411025425384,58.0,popup,0
SINGLE,97.9,15,-23.66423222541369,257.0,line_drive,1
OUT,81.9,38,24.402905623217578,293.0,fly_ball,1
OUT,93.7,25,-29.57510046627557,342.0,fly_ball,1
OUT,81.9,45,-44.919562344699024,252.0,fly_ball,1
SINGLE,91.5,19,8.407297405715417,276.0,line_drive,1
OUT,35.7,-72,-31.917583264420205,1.0,ground_ball,1
SINGLE,74.0,18,-20.97502837558316,218.0,line_drive,1
OUT,68.6,40,30.27435357174252,231.0,fly_ball,1
OUT,96.9,21,8.463418093600014,360.0,line_drive,1
OUT,92.7,19,-40.05053790158228,292.0,line_drive,1
HR,101.5,28,-18.78104042535733,412.0,fly_ball,1
HR,103.0,30,12.794134292690126,416.0,fly_ball,1
SINGLE,95.2,15,-13.465076435763644,239.0,line_drive,1
OUT,86.3,3,-32.03456334098735,59.0,ground_ball,1
OUT,54.5,-36,17.848127733717295,2.0,ground_ball,1
SINGLE,99.3,-8,-29.06546174145486,16.0,ground_ball,1
SINGLE,81.3,18,-22.55367793487882,216.0,line_drive,1
OUT,43.5,-3,18.70411541652923,23.0,ground_ball,1
OUT,74.9,-7,-48.06133809484084,19.0,ground_ball,0
DOUBLE,76.7,34,-49.10546411302116,265.0,fly_ball,0
OUT,89.1,9,-47.557457322606325,129.0,line_drive,0
OUT,53.0,-36,-4.80795396303048,4.0,ground_ball,1
OUT,107.4,-6,-24.963637774680368,16.0,ground_ball,1
OUT,87.1,41,23.89645335719347,294.0,fly_ball,1
OUT,82.1,49,-0.8576571862624771,253.0,fly_ball,1
OUT,72.8,-17,13.95848989448412,7.0,ground_ball,1
OUT,90.3,25,-20.250038144332105,328.0,line_drive,1
OUT,91.0,22,38.529493196247664,300.0,line_drive,1
OUT,101.9,35,-10.738835209570528,389.0,fly_ball,1
OUT,90.4,22,24.23569533587361,302.0,line_drive,1
SINGLE,54.4,-40,-43.37806386448919,3.0,ground_ball,1
OUT,99.0,0,-38.43330973221646,52.0,ground_ball,1
HR,99.5,31,-38.6201428969698,396.0,fly_ball,1
HR,101.7,23,-21.60041061032403,390.0,fly_ball,1
OUT,94.9,20,2.4700844281805923,338.0,line_drive,1
OUT,95.0,29,35.690398081566926,335.0,fly_ball,1
OUT,88.1,45,44.48853993128214,280.0,fly_ball,1
DOUBLE,102.1,22,14.452988825061691,379.0,line_drive,1
OUT,74.0,56,-49.1523381879798,202.0,fly_ball,0
